comment,sentiment
还有你人不人鬼不鬼的来小亮给他整个活指定没你好果子吃放了我徒弟,0
这个bgm是什么啊,0
真正的后现代艺术,2
比乐队本身优秀加油,2
今天几号,2
Bgm完全可以再大声一点,0
黑屏的那一刻仿佛一切都释然了,0
下次搞个客家往事,2
音乐小点就好了,0
东北不能失去沈阳大街就像汕头不能失去潮汕英豪传,0
我主页里有好康的,2
BGM是啥啊,0
狠活永远不会消失他们只是离开却将青春留在了那个人山人海的沈阳,2
补档,2
落日秋风233,2
ok兄弟们,2
虎哥的短视频号是哪个,1
今天几号,2
今日几多号拾陆号咯壹玖陆零年肆月拾陆号下昼叁点之前嘅壹分钟你同我系埋一齐因为你我会记得个壹分钟我听人讲哩个世界上有一种雀仔冇脚嘅哩钟雀仔一世只可以降落一次个一次就系佢死嘅时候,0
单纯喜欢bgm完全看不懂评论乌烟瘴气的这就是现在b站的评论区环境吗行吧我最后只问一句今天几号,0
bgm是啥呀,1
UPUP其实BGM可以调小些的,2
好活举办了,2
反差感一群烂人几个烂梗凑在一起竟产生了一股时代感也许这就是经典吧,0
狠活是杀不死的,0
这个视频我看了不下50次最初点进去是抱着无厘头的态度看一个搞笑的抽象作品的可没想到我被彻底的震撼到了忍不住的看了一次又一次多年前模糊的画质夏日漱石的配乐王家卫文艺的台词虎哥荒诞行为的画面这一切听起来不可思议甚至有些魔幻的组合却拼接的是那么的恰到好处想要赋予视频意义的同时又在鼓励观众尝试解构一帧帧画面狭窄的房间失意的男人狂乱的肢体动作整部作品都旨在表达一种荒谬感一种充斥着整个人类历史的荒诞无稽这里没有什么东西是有价值可言的宇宙冷漠而荒谬而人在真正面对它时一切的现实和理智都将崩溃我愿称之为荒诞浪漫主义的开端甚至将引领一段不可思议的潮流你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天重复转发,2
好活举报了等补档,0
今日几号16号咯1960年4月16号下昼三点前嘅一分钟你同我係埋一齊httpsb23tvBV14h41167p2我听人讲哩個世界有种雀仔无脚哩种雀仔一世只可以降落一次果次就系佢死嘅时候阿飞正传,0
好果汁你让我陷入疯狂,2
这叫肉死,0
主页出现这个的时候就知道这个月又过了一半,0
补档给不知道为什么弹幕都在刷好果汁你让我陷入疯狂但想知道的朋友科普一下1原话是彪姐你让我陷入疯狂是虎哥追求彪姐的时候说出的名言2因为你我会记住那一分钟这个视频的作者也就是up主的ID叫做请你喝好果汁3因为你我会记住那一分钟这个视频其实最开始的弹幕和评论都是各路文豪对于那个整活时代的怀念所写下的各种荒诞且浪漫的留言4因为虎弟dou音工会作祟导致因为你我会记住那一分钟这个视频被删除下架多次5即使视频被删了好果汁也会补档再被删再补档而且各路文豪也会重新留下那些荒诞且浪漫的弹幕或评论6直到有一次补档评论里有个朋友直接说了一句无论多少次到最后那些浪漫的弹幕和评论都会连同视频被删除一起消失都已经知道结局了为什么我们还要努力营造这个视频弹幕和评论的氛围释放最原始的野性吧好果汁你让我陷入疯狂从那以后那些浪漫荒诞的留言几乎全部消失这个视频的评论和弹幕要不就是一些抽象或玩梗评论或者就是好果汁你让我陷入疯狂,0
我提议以后每个月的16号就是我们的好果汁节,2
好果汁一次次补档我一次又一次收藏数天之后收藏栏里空荡荡仿佛我的青春已无处躲藏,2
认识了一个女孩第一天她跟我聊叔本华聊弗洛伊德聊巴洛克音乐印像画派和华丽摇滚第二天她听着夏日漱石问我沈阳大街在哪,2
为什么这个视频能引起我的感触因为我的青春不是玩单反不是跳伞不是cosplay不是用平板学习不是模范学生我只是用着最简单的东西整着供己娱乐的烂活罢了享受着最廉价的快乐记忆中也永远有那个夏天我深醉于这种真实感与梦幻感的交织,2
每个不曾起舞的十六号都是对生命的辜负尼采,2
一段不过四十秒的视频不断地投不断地删不断地观看不断地喝彩如野草般不尽如地火般疯狂,0
虎哥已经下播两年了他重新拾起了自己的旧名换上了工装在沈阳一家服装厂工作那是我第一次到东百当我离开沈阳站第一次踏踏实实地站在这块我既熟悉又陌生的土地上时我感受到的不是曾经幻想过的那种生机与活力而是一种破败和灰暗午夜的沈阳大街灯红酒绿可我没有哪怕一点点的兴奋与激动来到一家酒吧我想点杯好果汁可是酒保告诉我他们这里很久以前就不卖了我失魂落魄地走了出来东百好像不是我记忆里面的那个东百了点燃一根芙蓉王我独自走在沈阳大街上东张西望极力的想找到一个我熟悉的地方铁子你有很多事放不下一腔熟悉的声音瞬间打断了我的胡思乱想这个声音不会错不会错的我十分激动而又紧张的转过了我的头希望叫住我的人是他可我失望了站在我身后的只是位穿着蓝色工服的工人他的衣服很旧但很干净可能是经常洗的原因衣服已经有些变色泛白了从他衣服胸口上的logo上依稀写着的沈阳xx制衣厂可以看出他只是位普通的工人并不是我要找的人芙蓉王崩抽那破烟兄弟来根华子他冲着我笑了笑我没有接他便自己抽了起来兄弟外地的吧来东百干啥呀我们并排走在一起有一搭没一搭地闲聊像相识多年的朋友一样我来东百办点事随便看看东百我随口答到那你感觉东百咋样啊我感觉挺好但总觉得少了点什么少了点什么啊他深吸了一口烟若有所思地盯着远处霓虹灯照着他的脸一张我十分熟悉的脸你是还没等我说我他便抬手示意打断了我的话并冲我笑了笑能给我支芙蓉王吗他问道我呆呆地点了点头递给他我最后一根芙蓉王他接过烟后便径直地走了我不知所措站在原地过了好一会儿才反应过来冲他大声喊道虎哥你不整活了吗他停了下来但没有回头我已经三十岁了再也整不出什么好活儿了说完这句话他再次迈开了脚步那你现在去哪儿上夜班,2
虎弟已经通过各种二创为媒介被抽象成了观众自己眼中的新的形象这些二创火起来不是因为虎弟玩的活有多好或者多烂而是因为每个观众在自己的视角中拼凑了一个属于自己的虎弟自己没法成为的放荡不羁玩世不恭的青年形象你看的是视频品的其实是你自己,0
我在想有没有这么一种可能在一个平行世界虎哥是工厂里的生产标兵刀哥在工人文艺队里施展才华彪姐是妇女协会成员被人夸赞铁娘子杀马特团长作为高材生在研究室为国贡献我多希望我们的世界才是平行时空也许网红文化和网红经济让他们只感受到热度没体验到资本他们也逐渐意识到自己始终不过昙花一现狠活儿的年代也许真的随风而逝了可虎哥的抽象和表演却给人们带来了一种后现代艺术之美令人们疯狂与着迷伴随着时间的流逝装疯卖傻也成为了经典有的人曾说网红时代给我们带来的是拉低了人们对好视频的下限但我并不认为狠活是造就这一现象的刑事人他给了一群压力大的年轻人一种放松我们没有对美的定义始终没变他只不过是变得抽象化了那种拼凑美学那种零碎性那诞谩不经白昼见鬼的演绎这不正是现代版的堂吉诃德这种做法是否是一种新艺术我们无从知晓但它在我眼里成为了真正的后现代抽象我觉得他们就像用泥巴画出的蒙娜丽莎补档,2
来晚了今天几号16号,2
可能多年后我还会想起2022年的3月16号因为这天是我正式入伍的日子,2
代入以前的眼光觉得这种土味视频很低俗现在觉得是不是因为时间过得太快了当年的网络环境没有现在这样压抑大家都是有各自爱好可以分享给大家的人似乎从疫情开启的时候无法开学每天浑浑噩噩感受时间过得很快当时无意间刷到这种视频突然发现似乎挺好笑的当一个时代被美化也就代表着这个时代的我们再也无法回到那个春夏秋冬再也见不到曾经相视一笑的人,0
多年后一位老人问道孙子今天几号孙子回答说16号老人缓缓从床上爬起在电脑前搜索孙子问他在找什么他说在找那个回不去的盛夏,0
零补乃是诞生的前兆一补乃是诞生二补乃是了解天国三补乃是明确志向四补乃是追求志向五补乃是结交挚友六补乃是蜕变七补乃是探索八补乃是活祭九补乃是觉醒十补乃是苦难之道十一补乃是秘密的皇帝十二补乃是登上天国的起点十三补乃是登上天国前的考验十四补乃是完成考验登上天国之时最后再说一遍狠活要加速了我已整活的名义命令你退下,1
我宣布以后每个月的16号是复活节,2
每个月看一次每个16号好像都在提醒我时间飞逝不由的有点难过,2
转眼又到了十六号太快了,2
我看到有人说说补档限制了这一分钟的热度我倒是觉得补档也是这一分钟里的一块拼图每次补档就如凤凰涅槃惨烈而华丽在这复活的一分钟没有人会去深究这只来自沈阳的凤凰背后有哪般龌龊与不堪也没有人会去在意在烈火下是否如老鸦一般污黑每一次狂欢始于补档没有深究没有反思也没有人真正去狂粉演出的小丑这一分钟专注于这短暂的美好与盛放虽然很多新朋友与前几次的美妙相逢但想必这一次或者下一次或许相同的剧情或许眼熟的人但肯定每一次补档都会有独特的火光照亮陌生的你我,2
主页出现这个的时候就知道这个月又过了一半,0
补档给不知道为什么弹幕都在刷好果汁你让我陷入疯狂但想知道的朋友科普一下1原话是彪姐你让我陷入疯狂是虎哥追求彪姐的时候说出的名言2因为你我会记住那一分钟这个视频的作者也就是up主的ID叫做请你喝好果汁3因为你我会记住那一分钟这个视频其实最开始的弹幕和评论都是各路文豪对于那个整活时代的怀念所写下的各种荒诞且浪漫的留言4因为虎弟dou音工会作祟导致因为你我会记住那一分钟这个视频被删除下架多次5即使视频被删了好果汁也会补档再被删再补档而且各路文豪也会重新留下那些荒诞且浪漫的弹幕或评论6直到有一次补档评论里有个朋友直接说了一句无论多少次到最后那些浪漫的弹幕和评论都会连同视频被删除一起消失都已经知道结局了为什么我们还要努力营造这个视频弹幕和评论的氛围释放最原始的野性吧好果汁你让我陷入疯狂从那以后那些浪漫荒诞的留言几乎全部消失这个视频的评论和弹幕要不就是一些抽象或玩梗评论或者就是好果汁你让我陷入疯狂,0
我提议以后每个月的16号就是我们的好果汁节,2
好果汁一次次补档我一次又一次收藏数天之后收藏栏里空荡荡仿佛我的青春已无处躲藏,2
认识了一个女孩第一天她跟我聊叔本华聊弗洛伊德聊巴洛克音乐印像画派和华丽摇滚第二天她听着夏日漱石问我沈阳大街在哪,2
为什么这个视频能引起我的感触因为我的青春不是玩单反不是跳伞不是cosplay不是用平板学习不是模范学生我只是用着最简单的东西整着供己娱乐的烂活罢了享受着最廉价的快乐记忆中也永远有那个夏天我深醉于这种真实感与梦幻感的交织,2
每个不曾起舞的十六号都是对生命的辜负尼采,2
一段不过四十秒的视频不断地投不断地删不断地观看不断地喝彩如野草般不尽如地火般疯狂,0
虎哥已经下播两年了他重新拾起了自己的旧名换上了工装在沈阳一家服装厂工作那是我第一次到东百当我离开沈阳站第一次踏踏实实地站在这块我既熟悉又陌生的土地上时我感受到的不是曾经幻想过的那种生机与活力而是一种破败和灰暗午夜的沈阳大街灯红酒绿可我没有哪怕一点点的兴奋与激动来到一家酒吧我想点杯好果汁可是酒保告诉我他们这里很久以前就不卖了我失魂落魄地走了出来东百好像不是我记忆里面的那个东百了点燃一根芙蓉王我独自走在沈阳大街上东张西望极力的想找到一个我熟悉的地方铁子你有很多事放不下一腔熟悉的声音瞬间打断了我的胡思乱想这个声音不会错不会错的我十分激动而又紧张的转过了我的头希望叫住我的人是他可我失望了站在我身后的只是位穿着蓝色工服的工人他的衣服很旧但很干净可能是经常洗的原因衣服已经有些变色泛白了从他衣服胸口上的logo上依稀写着的沈阳xx制衣厂可以看出他只是位普通的工人并不是我要找的人芙蓉王崩抽那破烟兄弟来根华子他冲着我笑了笑我没有接他便自己抽了起来兄弟外地的吧来东百干啥呀我们并排走在一起有一搭没一搭地闲聊像相识多年的朋友一样我来东百办点事随便看看东百我随口答到那你感觉东百咋样啊我感觉挺好但总觉得少了点什么少了点什么啊他深吸了一口烟若有所思地盯着远处霓虹灯照着他的脸一张我十分熟悉的脸你是还没等我说我他便抬手示意打断了我的话并冲我笑了笑能给我支芙蓉王吗他问道我呆呆地点了点头递给他我最后一根芙蓉王他接过烟后便径直地走了我不知所措站在原地过了好一会儿才反应过来冲他大声喊道虎哥你不整活了吗他停了下来但没有回头我已经三十岁了再也整不出什么好活儿了说完这句话他再次迈开了脚步那你现在去哪儿上夜班,2
虎弟已经通过各种二创为媒介被抽象成了观众自己眼中的新的形象这些二创火起来不是因为虎弟玩的活有多好或者多烂而是因为每个观众在自己的视角中拼凑了一个属于自己的虎弟自己没法成为的放荡不羁玩世不恭的青年形象你看的是视频品的其实是你自己,0
我在想有没有这么一种可能在一个平行世界虎哥是工厂里的生产标兵刀哥在工人文艺队里施展才华彪姐是妇女协会成员被人夸赞铁娘子杀马特团长作为高材生在研究室为国贡献我多希望我们的世界才是平行时空也许网红文化和网红经济让他们只感受到热度没体验到资本他们也逐渐意识到自己始终不过昙花一现狠活儿的年代也许真的随风而逝了可虎哥的抽象和表演却给人们带来了一种后现代艺术之美令人们疯狂与着迷伴随着时间的流逝装疯卖傻也成为了经典有的人曾说网红时代给我们带来的是拉低了人们对好视频的下限但我并不认为狠活是造就这一现象的刑事人他给了一群压力大的年轻人一种放松我们没有对美的定义始终没变他只不过是变得抽象化了那种拼凑美学那种零碎性那诞谩不经白昼见鬼的演绎这不正是现代版的堂吉诃德这种做法是否是一种新艺术我们无从知晓但它在我眼里成为了真正的后现代抽象我觉得他们就像用泥巴画出的蒙娜丽莎补档,2
来晚了今天几号16号,2
可能多年后我还会想起2022年的3月16号因为这天是我正式入伍的日子,2
代入以前的眼光觉得这种土味视频很低俗现在觉得是不是因为时间过得太快了当年的网络环境没有现在这样压抑大家都是有各自爱好可以分享给大家的人似乎从疫情开启的时候无法开学每天浑浑噩噩感受时间过得很快当时无意间刷到这种视频突然发现似乎挺好笑的当一个时代被美化也就代表着这个时代的我们再也无法回到那个春夏秋冬再也见不到曾经相视一笑的人,0
多年后一位老人问道孙子今天几号孙子回答说16号老人缓缓从床上爬起在电脑前搜索孙子问他在找什么他说在找那个回不去的盛夏,0
零补乃是诞生的前兆一补乃是诞生二补乃是了解天国三补乃是明确志向四补乃是追求志向五补乃是结交挚友六补乃是蜕变七补乃是探索八补乃是活祭九补乃是觉醒十补乃是苦难之道十一补乃是秘密的皇帝十二补乃是登上天国的起点十三补乃是登上天国前的考验十四补乃是完成考验登上天国之时最后再说一遍狠活要加速了我已整活的名义命令你退下,1
我宣布以后每个月的16号是复活节,2
每个月看一次每个16号好像都在提醒我时间飞逝不由的有点难过,2
转眼又到了十六号太快了,2
我看到有人说说补档限制了这一分钟的热度我倒是觉得补档也是这一分钟里的一块拼图每次补档就如凤凰涅槃惨烈而华丽在这复活的一分钟没有人会去深究这只来自沈阳的凤凰背后有哪般龌龊与不堪也没有人会去在意在烈火下是否如老鸦一般污黑每一次狂欢始于补档没有深究没有反思也没有人真正去狂粉演出的小丑这一分钟专注于这短暂的美好与盛放虽然很多新朋友与前几次的美妙相逢但想必这一次或者下一次或许相同的剧情或许眼熟的人但肯定每一次补档都会有独特的火光照亮陌生的你我,2
2022年3月16日下午三点之前的一分钟你和我在一起因为你我会记住那一分钟,2
我在这呢李宁全部开线,1
同桌关注了好果汁但他从来不看好果汁的视频他会准时点开新传的视频然后离开一边是视频的声音另一边他刷题笔走龙蛇抑或做卷腹洗衣服偶尔开一盒自热火锅他有些他在课上和化学老师讨论某些金属键的共价成分直到老师说以教材为主考试不要考虑太多他的读后续写引用拜伦的诗句他引体向上能做18个他像挪威的森林中的永泽但他的异性朋友数量维持在最小自然数甚至有人怀疑他从未与女孩子单独相处过是什么铸就了这位前冠军队最佳辩手的缄默呢我没敢问他为什么关注好果汁又为什么点开视频不看就像我不敢问他他那让旁人艳羡的一切是怎么做到的有个幽邃的故事贯穿了他的岁月我总有这种感觉可我不敢求证那天他去竞赛有一封信转交给他华丽的半透明信封纹有四叶草和鸢尾花信被并不是很完美的火漆印章封上是简约的封字也许他的过往追上了他信封里那张撕去了一半的照片能依稀看到轮廓和色彩胖胖的男孩子穿着悟空字样的短袖很像虎弟的三维投影细看一眼又知道不可能是被撕掉的那一半照片或许便指向这个无法被标签归类的个体他不知从哪儿拿出来一瓶纸星星色彩在简约的锥形瓶里堆砌混合纷杂如同日光下的肥皂泡泡也宛若他那些引人注目的成就他没有取关但也再没看过视频走出生物考场一片片破防的惨叫与摆烂的欢呼此起彼伏我想起那封信但我没有问给故事留个白吧留下想象空间谁也说不清这个故事会何时凝固成回忆又何时涌出让所有伏笔得到照应或是在时间的洪流中烟消云散我保留了不知情权谢师宴后再没见过他也许那封信告诉他一切已尘埃落定如过眼云烟也许那封信追上他问他是否愿意一同谱写未来的乐章也许也许令万人欢呼呐喊入迷的虎弟是你心之所向的二维映射Farewell会有一个人能伴你余生让你说出过去一切你会和他相遇或者重逢在苍茫远山之间你走向了行人稀少的路而虎弟依然是那个可爱的东百人喜欢进棺材喜欢好看的不开线的李宁放心在那条未选择的路上我会好好照顾他的,0
今天第几次核酸十六次啦我听人说这个世界有一种测试方法是不用捅嗓子的这种方法一次只要滴三滴检测液这一捅就是整个寒冬,2
当年的虎哥这么也不会想到自己整出的活会能如此浪漫赵三金的一脚没能踹开虎哥的李宁时间却踹开了虎哥的夏天人们把这些称为了荒诞浪漫可浪漫过后呢如梦似幻的盛唐与李白如霜似雪的晚唐与杜甫浪漫的尽头也似乎不过是愁苦现实的开始就像彪姐没选择浪漫的rose而选择现实的money就像虎哥没选择整活而选择活着好活也伴随举报而逝去沈阳的夏天大概就这样过去了吧浪漫好像总是停留在最美好的时光即使如此我也依然怀念着纵使荒诞不堪毕竟人都生活在阴沟里又有什么好苛求的呢梦与浪漫总归会被生活与现实所替代可即便如此也总有人向往星空向往浪漫向往狠活于是乎杜甫在黑暗晚唐中仍独步寻花梵高无人欣赏也笔耕不止好活不断消逝却生生不息真正的浪漫是永远不向现实低头是杜甫笔下的惬意的春日是梵高笔下的怒放的向日葵是好活举报后的不屈的补档永不低头狠活的浪漫便于此刻绽放什么是狠活早已有人给出过答案狠活就是狠狠的活着时间将我踹出夏天过去的虎哥又将我狠狠踹了回去迷离的阳光荒废的时光世界似乎又回到了原点我拙脚地模仿着虎哥的舞步踢开现实的注脚试图演绎一段灿烂的旧时光补档,2
冰红茶的瓶盖上写着再来一瓶可虎哥的青春就只剩下谢谢惠顾了,0
审核都应该怀疑自己是不是陷入循环了总能在审这个视频,0
